location,recordingDate,method,taskLength,transcriber,species,speciesIndividualComment,speciesIndividualNumber,vocalization,abundance,startTime,tagLength,minFreq,maxFreq,internal_tag_id
FENLANDS,2024-06-29 02:44:35,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.911,30358,67264,
GOLF-COURSE,2024-06-30 23:10:34,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.14,27046,67431,
GOLF-COURSE,2024-06-30 03:26:48,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.782,30048,70339,
GOLF-COURSE,2024-06-30 02:58:36,None,8.01,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.132,29824,69570,
FENLANDS,2024-06-30 22:42:49,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.812,29508,65710,
FENLANDS,2024-06-30 22:38:50,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.898,30177,69528,
FENLANDS,2024-07-03 22:51:57,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.745,29343,63078,
FENLANDS,2024-07-03 22:38:47,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.24,28794,66449,
FENLANDS,2024-07-03 22:38:22,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.67,29593,68356,
GOLF-COURSE,2024-07-04 00:58:08,None,8.96,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.84,30777,78274,
FENLANDS,2024-07-04 22:57:09,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.127,27212,61716,
FENLANDS,2024-07-04 22:44:50,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.822,28398,68498,
GOLF-COURSE,2024-07-05 00:47:51,None,5.79,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.629,28080,74751,
FENLANDS,2024-07-05 03:31:57,None,11.11,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.988,28465,75312,
FENLANDS,2024-07-05 02:06:15,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.533,28557,61602,
GOLF-COURSE,2024-07-07 23:53:51,None,6.68,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.713,25757,75770,
GOLF-COURSE,2024-07-07 03:19:02,None,6.02,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,2.569,28319,65234,
GOLF-COURSE,2024-07-07 00:48:44,None,8.01,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.421,28315,65890,
GOLF-COURSE,2024-07-07 00:47:23,None,2,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,1.9968,28011,59247,
GOLF-COURSE,2024-07-07 00:04:11,None,10.04,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.202,27264,69699,
FENLANDS,2024-07-07 22:48:33,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.777,28605,67833,
GOLF-COURSE,2024-07-08 23:57:07,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.9936,26596,62216,
GOLF-COURSE,2024-07-08 23:34:19,None,8.01,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.372,27397,69305,
GOLF-COURSE,2024-07-08 22:39:33,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.064,27623,63183,
GOLF-COURSE,2024-07-08 02:48:47,None,6.58,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.855,28563,74229,
GOLF-COURSE,2024-07-09 03:13:34,None,13.52,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.924,30716,74411,
GOLF-COURSE,2024-07-09 01:10:27,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.909,32009,79535,
BANFF-MOBILE,2024-07-02 22:50:54,None,1.56,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,1.559552,29844,83360,
